"participant_ID","gender","age","bothered_about_poor_IQ","student"
"0041a13f-20b7-479b-8fb0-beabbfebaa2f","male",19,"annoyed",TRUE
"78d138b4-7ed0-451b-8b3b-5c62e6f27f09","female",20,"slightly annoyed",TRUE
"bd48a9f2-fda9-48a8-9f53-63ee2e1f6238","female",19,"annoyed",TRUE
"462c9e97-af65-4bbc-9411-14c40a436206","male",20,"very annoyed",TRUE
"f6e902a3-c20f-4ee5-9127-f57b5d063538","female",19,"very annoyed",TRUE
"0dbc43d5-cbdd-41be-acc4-9f3c6289adb6","female",19,"annoyed",TRUE
"364c7299-6249-40fd-9d08-93e9914c9022","male",20,"I can't say",TRUE
"bafc6755-b725-46b9-b593-a18474a9606b","male",19,"annoyed",TRUE
"fcba25ef-fc70-4f6c-b32b-3f56c8441ce7","male",20,"slightly annoyed",TRUE
"13f052f4-e592-4937-bc48-0a02408d09cd","male",19,"very annoyed",TRUE
"16248dd4-1047-4756-81aa-790e520315fa","male",19,"very annoyed",TRUE
"439f7bae-3c64-4a10-8f0b-7a89b1bb3863","male",19,"very annoyed",TRUE
"5ef74ac8-3e1a-43d1-a6c9-94791d0e4252","female",19,"very annoyed",TRUE
"6bd2b0db-2fd6-4764-9177-e6bf0dcf0191","male",19,"very annoyed",TRUE
"75dcb689-a18e-40ff-94b5-fdaaf47e5880","male",19,"annoyed",TRUE
"831f3dc0-26ee-40e8-8b4b-175972aab66b","male",32,"very annoyed",FALSE
"a87f1f48-4da6-48b9-9a03-4f0a73034bfa","male",19,"very annoyed",TRUE
"b4a227f7-6157-4f64-bfb4-e40ef490d6d8","female",20,"very annoyed",TRUE
"fd137227-f20e-45c5-8e6c-42cce632779d","male",21,"annoyed",TRUE
"74bc3b03-4164-4fb7-9065-e3a63fa4006f","male",19,"slightly annoyed",TRUE
"8592999c-b334-4bb9-a593-c3bb178d9e19","male",19,"very annoyed",TRUE
"9f1a5c9c-4465-4687-a96b-ec2a3838616a","female",19,"very annoyed",TRUE
"a8318a02-8430-4454-8271-75fb8e7f1c28","male",19,"annoyed",FALSE
"acad82d8-27c4-41cb-b629-7f343f128de6","female",20,"annoyed",FALSE
"16c6666b-e216-494f-b82e-c590991ad4a3","male",19,"very annoyed",TRUE
"f869a9fd-1391-4889-a134-ed5fb7bcba41","male",26,"very annoyed",FALSE
"1cf8d016-e7ce-4612-87f1-11b9c53483ba","male",19,"very annoyed",TRUE
"29d4c5c3-bf2a-4c25-a923-d7a9f9ecd916","female",19,"very annoyed",TRUE
"2e4b0ba7-b0a4-48b0-ad3a-a0fb2ac854a4","female",20,"annoyed",TRUE
"3645e09d-988f-47af-ae21-22e12e41d693","male",19,"very annoyed",TRUE
"37db871d-fdf8-4f80-8ca0-3d7a5bbde4ea","male",19,"annoyed",TRUE
"4e0937b9-c1f6-4512-9a3f-396bc3309fa3","male",20,"annoyed",TRUE
"6a83d89f-1d43-4d52-a647-e9f0435dade3","male",19,"very annoyed",TRUE
"7ae59ec3-36df-46fe-8c10-655547c7f2ed","female",18,"I can't say",FALSE
"7af56db6-babf-4ab8-8eb2-e4635cf1ccc9","female",22,"very annoyed",FALSE
